"peak","position","identifier","name","type","n_raw_ht","n_cor_ht","n_um","p_raw_ht","p_cor_ht","p_um","run_name","run_date","operator"
88,"1:48","48","20180917 W1","Unknown",0.071,0.071,29.861,0.003,0.001,1.389,"sample_run_2019-03-01","3/1/2019","apimenta_102"
89,"1:49","49","20180917 W2","Unknown",0.159,0.159,68.438,0.003,0.002,1.706,"sample_run_2019-03-01","3/1/2019","apimenta_102"
90,"0","AutoWash",NA,"AutoWash",0.006,0.006,1.549,0.002,0,0.253,"sample_run_2019-03-01","3/1/2019","apimenta_102"
91,"0","AutoWash",NA,"AutoWash",0,0,-1.215,0.002,0,0.213,"sample_run_2019-03-01","3/1/2019","apimenta_102"
92,"SR:15","CC1","NO3 100 uM","Check Cal",0.231,0.231,100.008,0.003,0.001,0.87,"sample_run_2019-03-01","3/1/2019","apimenta_102"
93,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.033,0.033,13.041,0.008,0.006,6.384,"sample_run_2019-03-01","3/1/2019","apimenta_102"
1,"SR:1","SYNC",NA,"SYNC",0.592,0.583,257.944,0.198,0.198,184.24,"sample_run_2019-03-06","3/6/2019","apimenta_103"
2,"SR:2","NO3 check",NA,"Unknown",0.385,0.377,166.136,0.002,0.002,1.595,"sample_run_2019-03-06","3/6/2019","apimenta_103"
3,"SR:3","NOX%",NA,"NO3 check",0.372,0.363,160.103,0.001,0,0.28,"sample_run_2019-03-06","3/6/2019","apimenta_103"
4,"SR:4","CO",NA,"Carry over",0.04,0.032,12.804,0.001,0,0.331,"sample_run_2019-03-06","3/6/2019","apimenta_103"
5,"SR:5","W",NA,"Wash",0.009,0,-1.304,0,0,0.119,"sample_run_2019-03-06","3/6/2019","apimenta_103"
6,"SR:6","C1",NA,"Calibrant",0.008,0,-1.301,0,0,0.149,"sample_run_2019-03-06","3/6/2019","apimenta_103"
7,"SR:7","C2",NA,"Calibrant",0.023,0.016,5.64,0,0,0.136,"sample_run_2019-03-06","3/6/2019","apimenta_103"
8,"SR:8","C3",NA,"Calibrant",0.067,0.059,25.032,0,0,0.158,"sample_run_2019-03-06","3/6/2019","apimenta_103"
9,"SR:9","C4",NA,"Calibrant",0.193,0.186,81.308,0.001,0,0.458,"sample_run_2019-03-06","3/6/2019","apimenta_103"
10,"SR:10","C5",NA,"Calibrant",0.368,0.361,159.321,0.001,0.001,0.806,"sample_run_2019-03-06","3/6/2019","apimenta_103"
